est_method,cp_time,cp,tag,dets,error
knn,5,K_20,552A2D4B,54,9
knn,5,K_21,34075261,31,477
knn,5,K_21,521E1933,31,136
knn,5,K_21,552A2D4B,31,134
knn,5,K_22,34075261,43,110
knn,5,K_22,521E1933,43,33
knn,5,K_22,552A2D4B,43,182
knn,5,K_23,34075261,55,56
knn,5,K_23,521E1933,55,69
knn,5,K_23,552A2D4B,55,42
knn,5,K_24,34075261,49,101
knn,5,K_24,521E1933,49,393
knn,5,K_24,552A2D4B,49,67
knn,5,K_3,34075261,52,12
knn,5,K_3,521E1933,52,85
knn,5,K_3,552A2D4B,52,77
knn,5,K_4,34075261,43,111
knn,5,K_4,521E1933,43,71
knn,5,K_4,552A2D4B,43,154
knn,5,K_5,34075261,39,270
knn,5,K_5,521E1933,39,95
knn,5,K_5,552A2D4B,39,61
knn,5,K_6,34075261,44,102
knn,5,K_6,521E1933,44,116
knn,5,K_6,552A2D4B,44,310
knn,5,K_7,34075261,42,234
knn,5,K_7,521E1933,42,47
knn,5,K_7,552A2D4B,42,101
knn,5,K_8,34075261,48,132
knn,5,K_8,521E1933,48,172
knn,5,K_8,552A2D4B,48,101
knn,5,K_9,34075261,42,94
knn,5,K_9,521E1933,42,119
knn,5,K_9,552A2D4B,42,30
knn,5,L_1,191E4C07,56,182
knn,5,L_1,33557852,56,12
knn,5,L_1,4C4B664C,56,71
knn,5,L_10,191E4C07,47,30
knn,5,L_10,33557852,47,161
knn,5,L_10,4C4B664C,47,59
knn,5,L_11,191E4C07,52,79
knn,5,L_11,33557852,52,33
knn,5,L_11,4C4B664C,52,35
knn,5,L_12,191E4C07,36,35
knn,5,L_12,33557852,36,35
knn,5,L_12,4C4B664C,36,134
knn,5,L_13,191E4C07,49,71
knn,5,L_13,33557852,49,65
knn,5,L_13,4C4B664C,49,470
knn,5,L_14,191E4C07,47,135
knn,5,L_14,33557852,47,77
knn,5,L_14,4C4B664C,47,340
knn,5,L_15,191E4C07,40,16
