cp,tag,x_cal,y_cal,x_est,y_est,error
D_12,34191966,186352.01322200985,447514.82275793125,186392.99551714543,447540.0609177395,48.1301695933892
D_12,78335578,186352.01322200985,447514.82275793125,186311.49384099653,447537.44981851376,46.409095103301794
D_13,07610752,186351.19242390522,447489.8399719803,186378.78445049573,447527.99617807625,47.08732308177624
D_13,34191966,186351.19242390522,447489.8399719803,186360.6891980302,447487.6456272322,9.74699274926613
D_13,78335578,186351.19242390522,447489.8399719803,186366.24645576207,447524.6016499071,37.88136913358158
D_14,07610752,186350.37162854616,447464.85718583665,186322.48347697878,447526.47983299056,67.63948284914822
D_14,34191966,186350.37162854616,447464.85718583665,186273.24573197946,447496.58109418885,83.39550516877395
D_14,78335578,186350.37162854616,447464.85718583665,186356.70033129898,447592.5064801945,127.806082909203
D_15,07610752,186349.5508359318,447439.8743994716,186284.05182182984,447508.1882059433,94.640884415676
D_15,34191966,186349.5508359318,447439.8743994716,186351.6376419092,447540.05799640086,100.20532846544978
D_15,78335578,186349.5508359318,447439.8743994716,186345.15616187258,447544.83222013403,105.04978476079839
D_16,07610752,186343.44697776978,448015.299289238,186346.96031283608,447983.20508050633,32.28593745579884
D_16,34191966,186343.44697776978,448015.299289238,186351.74752045056,447993.8479507425,23.001281095690725
D_16,78335578,186343.44697776978,448015.299289238,186342.71999574298,447955.16648175224,60.137201788798514
D_17,07610752,186342.62612456523,447990.3165045468,186341.95019093825,447962.5162335199,27.808487111627198
D_17,34191966,186342.62612456523,447990.3165045468,186355.9705290709,447976.4316305358,19.257799923982148
D_17,78335578,186342.62612456523,447990.3165045468,186346.7819645723,447996.8321957048,7.728210493440193
D_18,07610752,186341.80527410615,447965.3337196534,186371.73533134544,447976.6945404762,32.013693571872075
D_18,34191966,186341.80527410615,447965.3337196534,186357.77026456644,447960.6105165549,16.649011018881325
D_18,78335578,186341.80527410615,447965.3337196534,186389.64254954175,447950.2280324198,50.165592869026476
D_19,07610752,186340.98442639218,447940.3509345636,186338.06909924388,447908.6054597383,31.879057455747127
D_19,34191966,186340.98442639218,447940.3509345636,186344.11782761288,447943.89329119254,4.729322752395901
D_19,78335578,186340.98442639218,447940.3509345636,186323.21652124086,447906.6338701426,38.11218816383124
D_2,07610752,186360.22135402987,447764.65060632967,186367.7792451512,447772.4391861603,10.85281963269289
D_2,34191966,186360.22135402987,447764.65060632967,186386.7082528949,447745.8448345304,32.48404014979086
D_2,78335578,186360.22135402987,447764.65060632967,186336.53891512888,447795.5428442515,38.92541940837243
D_20,07610752,186340.16358142276,447915.3681492833,186336.73760637178,447893.4486187679,22.185651287821404
D_20,34191966,186340.16358142276,447915.3681492833,186366.9305955928,447925.20842419163,28.51848624753381
D_20,78335578,186340.16358142276,447915.3681492833,186349.75196690086,447913.8049435674,9.714975459920831
D_21,07610752,186339.34273919827,447890.385363798,186327.2634309266,447865.18813324254,27.942979726352807
D_21,34191966,186339.34273919827,447890.385363798,186341.62471977776,447923.53778204427,33.230863228933714
D_21,78335578,186339.34273919827,447890.385363798,186340.9428090385,447941.2134892264,50.853304298340774
D_22,07610752,186338.5218997189,447865.40257811034,186336.99892766168,447845.1013030674,20.35832046746285
D_22,34191966,186338.5218997189,447865.40257811034,186353.56558850294,447886.6511137413,26.03483894111693
D_22,78335578,186338.5218997189,447865.40257811034,186379.71902931875,447865.27522431646,41.197326445469876
D_23,07610752,186337.701062984,447840.4197922279,186346.01513323092,447863.61904827284,24.644050907038896
D_23,34191966,186337.701062984,447840.4197922279,186342.14511589572,447863.88106721325,23.878463732406725
D_23,78335578,186337.701062984,447840.4197922279,186321.40887836937,447839.42530034523,16.322508802940003
D_24,07610752,186336.8802289946,447815.43700614874,186270.86783607714,447772.52433604276,78.73457483413682
D_24,34191966,186336.8802289946,447815.43700614874,186381.1324583897,447829.3090563422,46.375570972304374
D_24,78335578,186336.8802289946,447815.43700614874,186243.75825680126,447792.8234178925,95.82836781975381
D_3,07610752,186359.40052847474,447739.66782239324,186276.00690120022,447734.44676979067,83.5569055212095
D_3,34191966,186359.40052847474,447739.66782239324,186388.81317867662,447747.177128107,30.35611411562154
D_3,78335578,186359.40052847474,447739.66782239324,186399.23899520875,447684.4728721133,68.07044856708225
D_4,07610752,186358.579705665,447714.685038251,186338.72910263357,447731.2404721631,25.84818819044999
D_4,34191966,186358.579705665,447714.685038251,186356.45177514307,447717.6310635448,3.6341647372971195
D_4,78335578,186358.579705665,447714.685038251,186313.14903433548,447715.6999230827,45.442005772993795
D_5,07610752,186357.7588856004,447689.70225392113,186409.23117823622,447709.8371755023,55.27035350229424
D_5,34191966,186357.7588856004,447689.70225392113,186398.00730368774,447643.3170850757,61.412694513034936
D_5,78335578,186357.7588856004,447689.70225392113,186359.36186279726,447681.83885652234,8.025120219967787
D_6,07610752,186356.9380682813,447664.71946937725,186335.36111843205,447684.4791373289,29.257635624871863
D_6,34191966,186356.9380682813,447664.71946937725,186351.69927308787,447626.75509235094,38.32412944966024
D_6,78335578,186356.9380682813,447664.71946937725,186377.71291522065,447653.7247809283,23.50483863894364
D_7,07610752,186356.11725370627,447639.7366846386,186350.40250080696,447574.972650459,65.01567906220251
D_7,34191966,186356.11725370627,447639.7366846386,186360.90984035746,447584.56740478805,55.37705595314649
D_7,78335578,186356.11725370627,447639.7366846386,186388.8475203409,447606.93837088585,46.335728536391024
E_1,524B0778,186336.05939774946,447790.454219868,186379.88016738486,447806.928647524,46.8152391645237
E_1,664B1E61,186336.05939774946,447790.454219868,186395.16802777685,447797.39135554107,59.5143175636027
E_1,78521E33,186336.05939774946,447790.454219868,186348.4014943529,447784.20128141367,13.835699761213656
E_11,524B0778,186327.8512362715,447540.6263460143,186355.29518374606,447546.5404503816,28.073953826513147
E_11,664B1E61,186327.8512362715,447540.6263460143,186341.0369361715,447603.6226416797,64.36144769513984
E_11,78521E33,186327.8512362715,447540.6263460143,186389.42841291905,447528.10657343065,62.837038356615686
E_12,524B0778,186327.03043522005,447515.64355752483,186307.71000891103,447526.6453273954,22.23325916385757
E_12,664B1E61,186327.03043522005,447515.64355752483,186341.4784724635,447572.85729084886,59.00980478751511
E_12,78521E33,186327.03043522005,447515.64355752483,186336.02470285536,447543.5445574238,29.31488778176657
E_13,524B0778,186326.20963691408,447490.6607688311,186325.84276155848,447481.70604738,8.96223375020292
E_13,664B1E61,186326.20963691408,447490.6607688311,186319.60865028037,447483.1543431158,9.995971766542967
E_13,78521E33,186326.20963691408,447490.6607688311,186305.72161149274,447501.83953229204,23.33932171638961
E_14,524B0778,186325.38884135254,447465.67797993857,186317.2898575985,447526.1077421092,60.97007211616016
