k,tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
9,2D2A784C,WNC_9,33.03516939211598,185959.75083256856,447810.17970481253,185926.71752916265,447810.5308214008,41
9,6119331E,WNC_9,48.31222203280436,185959.75083256856,447810.17970481253,185979.3318157167,447854.3459350875,37
9,072A5219,W_1,23.215751163505978,185881.44385465808,447655.33217213093,185903.94127408182,447649.6017950615,34
9,07614B78,W_1,6.567435302662024,185881.44385465808,447655.33217213093,185875.6991634084,447652.1494486273,34
9,66782A34,W_1,10.527576014870009,185881.44385465808,447655.33217213093,185890.8850677624,447650.6745598813,36
9,072A5219,W_10,27.151241776353295,185867.95272648733,448005.9127255024,185858.51702980357,448031.3716641702,31
9,07614B78,W_10,25.367712478835877,185867.95272648733,448005.9127255024,185861.38748214528,448030.4161620601,36
9,66782A34,W_10,11.481550988557537,185867.95272648733,448005.9127255024,185858.44634110833,448012.351254071,37
9,07614B78,W_11,11.346073176459072,185867.13187225995,447980.92988850223,185856.28613919675,447977.5977044066,36
9,66782A34,W_11,21.86846611726773,185867.13187225995,447980.92988850223,185871.32028983018,448002.39350815455,36
9,072A5219,W_11,21.342915584893387,185867.13187225995,447980.92988850223,185851.91800730105,447995.8984675489,34
9,072A5219,W_12,23.76024156400194,185866.31102077314,447955.94705128815,185863.98803408875,447979.5934635328,36
9,07614B78,W_12,21.773456421926568,185866.31102077314,447955.94705128815,185884.2267054641,447943.5732221875,39
9,66782A34,W_12,3.664321346949121,185866.31102077314,447955.94705128815,185866.14007894043,447959.6073832162,36
9,072A5219,W_13,13.971236884743401,185865.49017202793,447930.96421388286,185854.1391393655,447939.10973520356,35
9,07614B78,W_13,21.31369847685462,185865.49017202793,447930.96421388286,185866.67603297293,447909.6835307035,36
9,66782A34,W_13,32.273315703871326,185865.49017202793,447930.96421388286,185875.14682165932,447961.7589540899,35
9,072A5219,W_14,7.005509353259395,185864.669326024,447905.98137627915,185869.86579287355,447901.2830900405,37
